Account Number,Balance,Plan Description,Activity Description,Plan,Activity,Sector,Plan-Plan Description,DataDate,
01.05,38710.75,DCP3 Open Space,Open Space,01,05,No Sector,01-DCP3 Open Space,44532.00,
01.15,-921791.62,DCP3 Open Space,Casual Open Space,01,15,No Sector,01-DCP3 Open Space,44532.00,
01.16,-4598.00,DCP3 Open Space,Structured Open Space,01,16,No Sector,01-DCP3 Open Space,44532.00,
01.16,4598.00,DCP3 Open Space,Structured Open Space,01,16,No Sector,01-DCP3 Open Space,44532.00,
01.16,-14421.00,DCP3 Open Space,Structured Open Space,01,16,No Sector,01-DCP3 Open Space,44532.00,
01.16,-4878428.70,DCP3 Open Space,Structured Open Space,01,16,No Sector,01-DCP3 Open Space,44532.00,
02.01,-24442.60,Western Drainage,Drainage,02,01,No Sector,02-Western Drainage,44532.00,
02.01,-43702.11,Western Drainage,Drainage,02,01,No Sector,02-Western Drainage,44532.00,
03.06,-1959.06,DCP3 Community Facilities,Community Facilities,03,06,No Sector,03-DCP3 Community Facilities,44532.00,
04.02,35235227.49,TRCP,Roads,04,02,No Sector,04-TRCP,44532.00,
04.02,-4486696.31,TRCP,Roads,04,02,Sector 1 - Tweed Heads,04-TRCP,44532.00,
04.02,-2088.00,TRCP,Roads,04,02,Sector 2 - Murwillumbah,04-TRCP,44532.00,
04.02,-114829.00,TRCP,Roads,04,02,Sector 2 - Murwillumbah,04-TRCP,44532.00,
04.02,-2710.80,TRCP,Roads,04,02,Sector 2 - Murwillumbah,04-TRCP,44532.00,
04.02,-9834758.29,TRCP,Roads,04,02,Sector 2 - Murwillumbah,04-TRCP,44532.00,
04.02,-3403599.75,TRCP,Roads,04,02,Sector 3 - Kingscliff,04-TRCP,44532.00,
04.02,-18662.40,TRCP,Roads,04,02,Sector 4 - Cabarita,04-TRCP,44532.00,
04.02,-2203675.66,TRCP,Roads,04,02,Sector 4 - Cabarita,04-TRCP,44532.00,
04.02,-3150.00,TRCP,Roads,04,02,Sector 5 - Pottsville,04-TRCP,44532.00,
04.02,-330740.00,TRCP,Roads,04,02,Sector 5 - Pottsville,04-TRCP,44532.00,
04.02,-3420923.33,TRCP,Roads,04,02,Sector 5 - Pottsville,04-TRCP,44532.00,
04.02,-28787.00,TRCP,Roads,04,02,Sector 6,04-TRCP,44532.00,
04.02,-6657.04,TRCP,Roads,04,02,Sector 6,04-TRCP,44532.00,
04.02,-3598.00,TRCP,Roads,04,02,Sector 6,04-TRCP,44532.00,
04.02,-2581.80,TRCP,Roads,04,02,Sector 6,04-TRCP,44532.00,
04.02,-4772684.92,TRCP,Roads,04,02,Sector 6,04-TRCP,44532.00,
04.02,-1814.00,TRCP,Roads,04,02,Sector 7,04-TRCP,44532.00,
04.02,-12695.00,TRCP,Roads,04,02,Sector 7,04-TRCP,44532.00,
04.02,-1814.00,TRCP,Roads,04,02,Sector 7,04-TRCP,44532.00,
04.02,-12753167.29,TRCP,Roads,04,02,Sector 7,04-TRCP,44532.00,
04.02,-50863.00,TRCP,Roads,04,02,Sector 8,04-TRCP,44532.00,
04.02,-6412410.59,TRCP,Roads,04,02,Sector 8,04-TRCP,44532.00,
04.02,-120792.80,TRCP,Roads,04,02,Sector 9,04-TRCP,44532.00,
04.02,-6172918.02,TRCP,Roads,04,02,Sector 9,04-TRCP,44532.00,
04.02,-3132974.73,TRCP,Roads,04,02,Sector 10,04-TRCP,44532.00,
04.02,-193268.32,TRCP,Roads,04,02,Sector 11,04-TRCP,44532.00,
04.02,-433150.78,TRCP,Roads,04,02,Sector 12,04-TRCP,44532.00,
04.02,-19440.40,TRCP,Roads,04,02,Sector 13,04-TRCP,44532.00,
04.02,-12064.71,TRCP,Roads,04,02,Sector 13,04-TRCP,44532.00,
04.02,-1041280.62,TRCP,Roads,04,02,Sector 13,04-TRCP,44532.00,
04.02,-8232.29,TRCP,Roads,04,02,Sector 15,04-TRCP,44532.00,
04.02,-1664666.76,TRCP,Roads,04,02,Sector 26,04-TRCP,44532.00,
04.02,-495470.37,TRCP,Roads,04,02,Sector 27,04-TRCP,44532.00,
04.02,-732529.72,TRCP,Roads,04,02,Sector 29,04-TRCP,44532.00,
04.02,-771558.90,TRCP,Roads,04,02,Sector 30,04-TRCP,44532.00,
04.02,-365.51,TRCP,Roads,04,02,Sector 31,04-TRCP,44532.00,
04.02,-8849.00,TRCP,Roads,04,02,TRCP Sector 12a,04-TRCP,44532.00,
04.02,-246043.90,TRCP,Roads,04,02,TRCP Sector 12a,04-TRCP,44532.00,
04.02,-366775.05,TRCP,Roads,04,02,TRCP Sector 12b,04-TRCP,44532.00,
04.18,-2816.68,TRCP,Extractive Industries,04,18,No Sector,04-TRCP,44532.00,
05.15,-365.00,O/Space,Casual Open Space,05,15,No Sector,05-O/Space,44532.00,
05.15,-405.60,O/Space,Casual Open Space,05,15,No Sector,05-O/Space,44532.00,
05.15,-477.00,O/Space,Casual Open Space,05,15,No Sector,05-O/Space,44532.00,
05.15,-84.00,O/Space,Casual Open Space,05,15,No Sector,05-O/Space,44532.00,
05.15,-477.00,O/Space,Casual Open Space,05,15,No Sector,05-O/Space,44532.00,
05.15,-1346.00,O/Space,Casual Open Space,05,15,No Sector,05-O/Space,44532.00,
05.15,-687185.63,O/Space,Casual Open Space,05,15,No Sector,05-O/Space,44532.00,
05.15,-2.56,O/Space,Casual Open Space,05,15,Sector 1 - Tweed Heads,05-O/Space,44532.00,
05.15,-6.39,O/Space,Casual Open Space,05,15,Sector 2 - Murwillumbah,05-O/Space,44532.00,
05.15,-2.73,O/Space,Casual Open Space,05,15,Sector 3 - Kingscliff,05-O/Space,44532.00,
05.15,-1.00,O/Space,Casual Open Space,05,15,Sector 4 - Cabarita,05-O/Space,44532.00,
05.15,-5.92,O/Space,Casual Open Space,05,15,Sector 5 - Pottsville,05-O/Space,44532.00,
05.15,-14.91,O/Space,Casual Open Space,05,15,Sector 7,05-O/Space,44532.00,
05.16,-464.10,O/Space,Structured Open Space,05,16,No Sector,05-O/Space,44532.00,
05.16,-546.00,O/Space,Structured Open Space,05,16,No Sector,05-O/Space,44532.00,
05.16,-96.00,O/Space,Structured Open Space,05,16,No Sector,05-O/Space,44532.00,
05.16,-546.00,O/Space,Structured Open Space,05,16,No Sector,05-O/Space,44532.00,
05.16,-1542.00,O/Space,Structured Open Space,05,16,No Sector,05-O/Space,44532.00,
05.16,-865783.71,O/Space,Structured Open Space,05,16,No Sector,05-O/Space,44532.00,
05.16,9990.59,O/Space,Structured Open Space,05,16,Sector 1 - Tweed Heads,05-O/Space,44532.00,
05.16,229970.13,O/Space,Structured Open Space,05,16,Sector 2 - Murwillumbah,05-O/Space,44532.00,
05.16,316103.08,O/Space,Structured Open Space,05,16,Sector 3 - Kingscliff,05-O/Space,44532.00,
05.16,11060.54,O/Space,Structured Open Space,05,16,Sector 4 - Cabarita,05-O/Space,44532.00,
05.16,-3.41,O/Space,Structured Open Space,05,16,Sector 5 - Pottsville,05-O/Space,44532.00,
05.16,2110.46,O/Space,Structured Open Space,05,16,Sector 6,05-O/Space,44532.00,
05.16,-0.49,O/Space,Structured Open Space,05,16,Sector 7,05-O/Space,44532.00,
05.16,-0.74,O/Space,Structured Open Space,05,16,Sector 8,05-O/Space,44532.00,
05.16,-4862.80,O/Space,Structured Open Space,05,16,Sector 9,05-O/Space,44532.00,
05.16,-0.22,O/Space,Structured Open Space,05,16,Sector 10,05-O/Space,44532.00,
06.08,-3267.00,Contribution Street Trees,Street Trees,06,08,No Sector,06-Contribution Street Trees,44532.00,
06.08,-289549.43,Contribution Street Trees,Street Trees,06,08,No Sector,06-Contribution Street Trees,44532.00,
07.01,-1741.79,West K'Cliff,Drainage,07,01,No Sector,07-West K'Cliff,44532.00,
07.01,-1479.87,West K'Cliff,Drainage,07,01,No Sector,07-West K'Cliff,44532.00,
07.01,-255390.31,West K'Cliff,Drainage,07,01,No Sector,07-West K'Cliff,44532.00,
07.05,-22514.00,West K'Cliff,Open Space,07,05,No Sector,07-West K'Cliff,44532.00,
07.05,-3250.82,West K'Cliff,Open Space,07,05,No Sector,07-West K'Cliff,44532.00,
07.05,-931796.88,West K'Cliff,Open Space,07,05,No Sector,07-West K'Cliff,44532.00,
07.06,-4.55,West K'Cliff,Community Facilities,07,06,No Sector,07-West K'Cliff,44532.00,
07.07,3.09,West K'Cliff,Footpath/Cycleway,07,07,No Sector,07-West K'Cliff,44532.00,
09.14,0.62,Cobaki Lakes,Other,09,14,No Sector,09-Cobaki Lakes,44532.00,
10.14,1619.84,Cobaki Lakes,Other,10,14,No Sector,10-Cobaki Lakes,44532.00,
11.06,-545.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-755.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-755.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-5161.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-606.45,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-745.18,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-713.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-21147.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-11077.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-126.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-7804.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-2518.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-713.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-2014.00,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
11.06,-1426450.42,Libraries,Community Facilities,11,06,No Sector,11-Libraries,44532.00,
12.10,-57.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-57.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-390.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-46.15,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-56.24,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-54.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-1596.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-836.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-10.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-589.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-190.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-152.00,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
12.10,-213291.68,Bus Shelters,Bus Shelters,12,10,No Sector,12-Bus Shelters,44532.00,
13.11,-107.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-107.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-733.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-87.75,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-105.82,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-101.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-3003.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-1573.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-18.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-358.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-101.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-286.00,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
13.11,-127763.91,Cemeteries,Cemeteries,13,11,No Sector,13-Cemeteries,44532.00,
14.14,-108322.77,Mebbin Springs,Other,14,14,No Sector,14-Mebbin Springs,44532.00,
15.06,-900.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44532.00,
